,tmdbId,Title,Year,genres
0,862,Toy Story,1995,Adventure|Animation|Children|Comedy|Fantasy
1,8844,Jumanji,1995,Adventure|Children|Fantasy
2,15602,Grumpier Old Men,1995,Comedy|Romance
3,31357,Waiting to Exhale,1995,Comedy|Drama|Romance
4,11862,Father of the Bride Part II,1995,Comedy
5,949,Heat,1995,Action|Crime|Thriller
6,11860,Sabrina,1995,Comedy|Romance
7,45325,Tom and Huck,1995,Adventure|Children
8,9091,Sudden Death,1995,Action
9,710,GoldenEye,1995,Action|Adventure|Thriller
10,9087,The American President,1995,Comedy|Drama|Romance
11,12110,Dracula: Dead and Loving It,1995,Comedy|Horror
12,21032,Balto,1995,Adventure|Animation|Children
13,10858,Nixon,1995,Drama
14,1408,Cutthroat Island,1995,Action|Adventure|Romance
15,524,Casino,1995,Crime|Drama
16,4584,Sense and Sensibility,1995,Drama|Romance
17,5,Four Rooms,1995,Comedy
18,9273,Ace Ventura: When Nature Calls,1995,Comedy
19,11517,Money Train,1995,Action|Comedy|Crime|Drama|Thriller
20,8012,Get Shorty,1995,Comedy|Crime|Thriller
21,1710,Copycat,1995,Crime|Drama|Horror|Mystery|Thriller
22,9691,Assassins,1995,Action|Crime|Thriller
23,12665,Powder,1995,Drama|Sci-Fi
24,451,Leaving Las Vegas,1995,Drama|Romance
25,16420,Othello,1995,Drama
26,9263,Now and Then,1995,Children|Drama
27,17015,Persuasion,1995,Drama|Romance
28,902,The City of Lost Children,1995,Adventure|Drama|Fantasy|Mystery|Sci-Fi
29,37557,Shanghai Triad,1995,Crime|Drama
30,9909,Dangerous Minds,1995,Drama
31,63,Twelve Monkeys,1995,Mystery|Sci-Fi|Thriller
32,78802,Wings of Courage,1995,Adventure|Romance|IMAX
33,9598,Babe,1995,Children|Drama
34,47018,Carrington,1995,Drama|Romance
35,687,Dead Man Walking,1995,Crime|Drama
36,139405,Across the Sea of Time,1995,Documentary|IMAX
37,33689,It Takes Two,1995,Children|Comedy
38,9603,Clueless,1995,Comedy|Romance
39,34615,"Cry, the Beloved Country",1995,Drama
40,31174,Richard III,1995,Drama|War
41,11443,Dead Presidents,1995,Action|Crime|Drama
42,35196,Restoration,1995,Drama
43,9312,Mortal Kombat,1995,Action|Adventure|Fantasy
44,577,To Die For,1995,Comedy|Drama|Thriller
45,11861,How to Make an American Quilt,1995,Drama|Romance
46,807,Seven,1995,Mystery|Thriller
47,10530,Pocahontas,1995,Animation|Children|Drama|Musical|Romance
48,8391,When Night Is Falling,1995,Drama|Romance
49,629,The Usual Suspects,1995,Crime|Mystery|Thriller
50,117164,Guardian Angel,1994,Action|Drama|Thriller
51,11448,Mighty Aphrodite,1995,Comedy|Drama|Romance
52,49133,Lamerica,1994,Adventure|Drama
53,26441,The Big Green,1995,Children|Comedy
54,97406,Georgia,1995,Drama
55,124057,Kids of the Round Table,1995,Adventure|Children|Comedy|Fantasy
56,9089,Home for the Holidays,1995,Drama
57,11010,The Postman,1994,Comedy|Drama|Romance
58,99040,The Confessional,1995,Drama|Mystery
59,11359,The Indian in the Cupboard,1995,Adventure|Children|Fantasy
60,17182,Eye for an Eye,1996,Drama|Thriller
61,2054,Mr. Holland's Opus,1995,Drama
62,10607,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,1996,Comedy|Crime
63,19760,Two if by Sea,1996,Comedy|Romance
64,9536,Bio-Dome,1996,Comedy
65,11525,Lawnmower Man 2: Beyond Cyberspace,1996,Action|Sci-Fi|Thriller
66,40628,Two Bits,1995,Drama
67,4482,French Twist,1995,Comedy|Romance
68,10634,Friday,1995,Comedy
69,755,From Dusk Till Dawn,1996,Action|Comedy|Horror|Thriller
70,11859,Fair Game,1995,Action
71,28387,Kicking and Screaming,1995,Comedy|Drama
72,48750,Les Misérables,1995,Drama|War
73,20927,Bed of Roses,1996,Drama|Romance
74,36929,Big Bully,1996,Comedy|Drama
75,9102,Screamers,1995,Action|Sci-Fi|Thriller
