Title,Year,Genres,Language,Director,Score,soup
The Shawshank Redemption,1994,Drama Crime,English,Frank Darabont,8.69,prison corruption policebrutality prisoncell delinquent paroleboard prisonescape wrongfulimprisonment framedformurder 1940s dramacrime frankdarabont timrobbins morganfreeman bobgunton clancybrown
The Godfather,1972,Drama Crime,English,Francis Ford Coppola,8.68,italy lossoflovedone loveatfirstsight italianamerican europe patriarch organizedcrime mafia lawyer crimefamily risetopower mobboss 1940s 1950s dramacrime francisfordcoppola marlonbrando alpacino jamescaan richards.castellano
Dilwale Dulhania Le Jayenge,1995,Comedy Drama Romance,Hindi,Aditya Chopra,8.61,Not Available comedydramaromance adityachopra shahrukhkhan kajol amrishpuri anupamkher
Schindlers List,1993,Drama History War,English,Steven Spielberg,8.58,basedonnovelorbook factory concentrationcamp hero holocaust(shoah) worldwarii ghetto jewpersecution krakow auschwitz-birkenauconcentrationcamp industrialist jew/jewish nazi defenseindustry biography basedonatruestory train poland ss weaponsmanufacturer dramahistorywar stevenspielberg liamneeson benkingsley ralphfiennes carolinegoodall
The Godfather: Part II,1974,Drama Crime,English,Francis Ford Coppola,8.57,italy italianamerican cuba melancholy praise revenge mafia lawyer blood suburb corruptpolitician bloodybodyofchild manpuncheswoman dramacrime francisfordcoppola alpacino robertduvall dianekeaton robertdeniro
Your Name,2016,Romance Animation Drama,Japanese,Makoto Shinkai,8.57,timetravel supernatural afterlife romance school body-swap starcrossedlovers anime romanceanimationdrama makotoshinkai ryunosukekamiki monekamishiraishi masaminagasawa etsukoichihara
Pulp Fiction,1994,Thriller Crime,English,Quentin Tarantino,8.49,transporter drugdealer boxer massage stolenmoney crimeboss dancecompetition junkyard kamikaze briefcase redemption heirloom losangeles california theft violence nonlineartimeline shareduniverse thrillercrime quentintarantino johntravolta samuell.jackson umathurman brucewillis
The Lord of the Rings: The Return of the King,2003,Adventure Fantasy Action,English,Peter Jackson,8.49,elves dwarf orcs hobbit basedonnovelorbook suspicion volcano power giantspider bravery war addiction honor royalty troll brutality violence ghost wizard quest swordandsorcery adventurefantasyaction peterjackson elijahwood ianmckellen viggomortensen seanastin
The Green Mile,1999,Fantasy Drama Crime,English,Frank Darabont,8.48,southernusa mentallydisabled basedonnovelorbook deathrow jailguard greatdepression supernatural prisonguard jail electricchair magicrealism healing 1930s fantasydramacrime frankdarabont tomhanks davidmorse bonniehunt michaelclarkeduncan
Spirited Away,2001,Animation Family Fantasy,Japanese,Hayao Miyazaki,8.48,witch parentchildrelationship magic darkness bathhouse ghostworld spirit parallelworld amusementpark youkai japanesemythology anime animationfamilyfantasy hayaomiyazaki rumihiiragi miyuirino marinatsuki buntasugawara
Life Is Beautiful,1997,Comedy Drama,Italian,Roberto Benigni,8.48,"italy riddle lossoflovedone bookshop selfsacrifice massmurder concentrationcamp fascism worldwarii ""loveofoneslife"" deportation jewpersecution nazi nationalsocialism charade ridingabicycle storyteller concentrationcampprisoner dyinganddeath comedydrama robertobenigni robertobenigni nicolettabraschi giorgiocantarini giustinodurano"
Once Upon a Time in America,1984,Drama Crime,English,Sergio Leone,8.44,newyorkcity lifeanddeath corruption streetgang rape sadistic lovesickness sexualabuse regret prohibitionera moneylaundering opium gangster mafiaboss murder memory torture brooklynbridge childhoodfriends 1920s 1960s 1930s dramacrime sergioleone robertdeniro jameswoods elizabethmcgovern joepesci
The Dark Knight,2008,Drama Action Crime Thriller,English,Christopher Nolan,8.39,dccomics crimefighter secretidentity scarecrow sadism chaos vigilante joker superhero basedoncomic tragichero organizedcrime criminalmastermind districtattorney superpower imax supervillain batman dramaactioncrimethriller christophernolan christianbale michaelcaine heathledger garyoldman
Fight Club,1999,Drama,English,David Fincher,8.39,basedonnovelorbook supportgroup dualidentity nihilism fight rageandhate insomnia dystopia alterego cultfilm splitpersonality quittingajob dissociativeidentitydisorder graphicviolence selfdestructiveness drama davidfincher edwardnorton bradpitt helenabonhamcarter meatloaf
Forrest Gump,1994,Comedy Drama Romance,English,Robert Zemeckis,8.39,vietnamveteran hippie washingtond.c. mentallydisabled basedonnovelorbook parentchildrelationship vietnamwar friendship love familyrelationships military woundedsoldier lowiq falsehistory comedydramaromance robertzemeckis tomhanks robinwright garysinise mykeltiwilliamson
Star Wars: Episode V - The Empire Strikes Back,1980,Adventure Action Science Fiction,English,Irvin Kershner,8.38,rebel android asteroid spacecraft spacebattle snowstorm spacecolony lightsaber jedi goodvsevil rebellion theforce spaceopera stormtrooper wookie jedimaster jeditraining droid adventureactionsciencefiction irvinkershner markhamill harrisonford carriefisher billydeewilliams
Whiplash,2014,Drama Music,English,Damien Chazelle,8.38,newyorkcity jazz obsession conservatory musicteacher violence montage drummer publichumiliation jazzband youngadult musicschool dramamusic damienchazelle milesteller j.k.simmons paulreiser melissabenoist
Goodfellas,1990,Drama Crime,English,Martin Scorsese,8.38,newyorkcity prison basedonnovelorbook florida 1970s massmurder irish-american drugtraffic gangster biography basedonatruestory murder organizedcrime gore mafia violence brooklyn newyorkcity crimeepic tampa dramacrime martinscorsese rayliotta robertdeniro joepesci lorrainebracco
American History X,1998,Drama,English,Tony Kaye,8.38,"neonazism prison skinhead siblingrelationship rape fascism brother basketball jail school swastika losangeles california family hate xenophobia interracialfriendship nazism drama tonykaye edwardnorton edwardfurlong ""beverlydangelo"" jenniferlien"
One Flew Over the Cuckoos Nest,1975,Drama,English,Miloš Forman,8.37,nurse basedonnovelorbook oregon usa lunaticasylum friendship hospital femalevillain shocktreatment drama milošforman jacknicholson louisefletcher dannydevito williamredfield
Psycho,1960,Horror Drama Thriller,English,Alfred Hitchcock,8.37,hotel clerk arizona shower rain motel taxidermy money secretary corpse murderer theft privatedetective proto-slasher horrordramathriller alfredhitchcock anthonyperkins janetleigh veramiles johngavin
Howls Moving Castle,2004,Fantasy Animation Adventure,Japanese,Hayao Miyazaki,8.37,flying witch rain castle scarecrow bodyexchange hatter bakery curse demon anime basedonyoungadultnovel fantasyanimationadventure hayaomiyazaki chiekobaisho takuyakimura akihiromiwa tatsuyagashûin
"The Good, the Bad and the Ugly",1966,Western,Italian,Sergio Leone,8.37,bountyhunter refugee gold antihero gallows hitman army outlaw shootout moralambiguity spaghettiwestern western sergioleone clinteastwood eliwallach leevancleef aldogiuffrè
Princess Mononoke,1997,Adventure Fantasy Animation,Japanese,Hayao Miyazaki,8.36,fight wolf leprosy pan wildboar territory feralchild friendship princess goodvsevil ruralarea decapitation spirit demon deforestation anime adventurefantasyanimation hayaomiyazaki yōjimatsuda yurikoishida yūkotanaka kaorukobayashi
12 Angry Men,1957,Drama,English,Sidney Lumet,8.36,judge jurors sultriness deathpenalty fathermurder puertorican anonymity courtcase heat class innocence court violence courtroom drama sidneylumet martinbalsam johnfiedler leej.cobb e.g.marshall
City of God,2002,Drama Crime,Portuguese,Fernando Meirelles,8.36,streetgang photographer riodejaneiro ghetto gangwar comingofage womandirector dramacrime fernandomeirelles alexandrerodrigues leandrofirmino phellipehaagensen douglassilva
Grave of the Fireflies,1988,Animation Drama War,Japanese,Isao Takahata,8.34,siblingrelationship hunger worldwarii shelter wartime anime orphansiblings childreninwartime animationdramawar isaotakahata tsutomutatsumi ayanoshiraishi yoshikoshinohara akemiyamaguchi
Cinema Paradiso,1989,Drama Romance,Italian,Giuseppe Tornatore,8.33,sicily moviebusiness parentchildrelationship cinema kiss flashback comingofage hauntedbythepast censorship movietheatre nuovocinemaparadiso dramaromance giuseppetornatore philippenoiret jacquesperrin marcoleonardi salvatorecascio
The Great Dictator,1940,Comedy,English,Charlie Chaplin,8.31,dictator hairdresser amnesia fascism worldwarii jewishghetto worldwari jew/jewish nazi propaganda nationalsocialism nationalsocialistparty speech satire goodvsevil barbershop fictitiouscountry comedy charliechaplin charliechaplin jackoakie reginaldgardiner henrydaniell
Seven Samurai,1954,Action Drama,Japanese,Akira Kurosawa,8.31,japan samurai sword peasant looting rice fencing village war epic moralambiguity battle bandit practice 16thcentury actiondrama akirakurosawa toshirōmifune takashishimura yoshioinaba seijimiyaguchi
Inception,2010,Action Science Fiction Adventure,English,Christopher Nolan,8.29,paris france spy philosophy allegory dream kidnapping manipulation airplane virtualreality carcrash rescue mission memory architecture losangeles california dreamworld subconscious actionsciencefictionadventure christophernolan leonardodicaprio josephgordonlevitt ellenpage tomhardy
Interstellar,2014,Adventure Drama Science Fiction,English,Christopher Nolan,8.29,artificialintelligence nasa spacecraft expedition future wormhole spacetravel famine blackhole dystopia raceagainsttime quantummechanics space rescue familyrelationships farmhouse robot astronaut scientist singlefather farmer spacestation imax fatherdaughterrelationship adventuredramasciencefiction christophernolan matthewmcconaughey jessicachastain annehathaway michaelcaine
Avengers: Infinity War - Part I,2018,Adventure Action Science Fiction,English,Anthony Russo,8.29,magic sacrifice superhero basedoncomic space battlefield genocide magicalobject superpower team aftercreditsstinger marvelcinematicuniverse cosmic adventureactionsciencefiction anthonyrusso robertdowneyjr. chrishemsworth chrisevans scarlettjohansson
The Lord of the Rings: The Fellowship of the Ring,2001,Adventure Fantasy Action,English,Peter Jackson,8.29,elves dwarf orcs hobbit lossoflovedone basedonnovelorbook river mountain mine fireworks castle volcano power birthdayparty uncle addiction battle blizzard wizard journey ring swordandsorcery adventurefantasyaction peterjackson elijahwood ianmckellen viggomortensen seanastin
The Lord of the Rings: The Two Towers,2002,Adventure Fantasy Action,English,Peter Jackson,8.29,elves dwarf orcs hobbit basedonnovelorbook explosive cave power siege fort army addiction mission attack guide splitpersonality wizard ring swordandsorcery adventurefantasyaction peterjackson elijahwood ianmckellen viggomortensen seanastin
Back to the Future,1985,Adventure Comedy Science Fiction Family,English,Robert Zemeckis,8.29,clocktower carrace terrorist delorean lightning guitar plutonium sportscar inventor journeyinthepast invention timetravel raceagainsttime partner misfit madscientist fishoutofwater teenagelove destiny hiddenidentity oddcouple escapade disorder chasesandraces loveandromance teenagelife misfitpartners changingthepastorfuture gettinghome adventurecomedysciencefictionfamily robertzemeckis michaelj.fox christopherlloyd leathompson crispinglover
Seven,1995,Crime Mystery Thriller,English,David Fincher,8.29,self-fulfillingprophecy detective s.w.a.t. drugdealer evisceration lustandimpulsiveness rageandhate prideandvanity immoderateness insomnia investigation pension police serialkiller neo-noir crimemysterythriller davidfincher bradpitt morganfreeman gwynethpaltrow kevinspacey
The Silence of the Lambs,1991,Crime Drama Thriller Horror,English,Jonathan Demme,8.28,basedonnovelorbook fbi kidnapping psychopath horror murder serialkiller psychologicalthriller cannibal moth cannibalism crimedramathrillerhorror jonathandemme jodiefoster anthonyhopkins scottglenn tedlevine
Léon: The Professional,1994,Crime Drama Action,English,Luc Besson,8.28,newyorkcity corruption lossoflovedone assassin policebrutality s.w.a.t. immigrant hitman training revenge murder loneliness neighbor tragiclove cultfilm neo-noir complexrelationship crimedramaaction lucbesson jeanreno natalieportman garyoldman dannyaiello
Sunset Blvd,1950,Drama,English,Billy Wilder,8.28,"""newyearseve"" screenwriter jealousy butler lossofsenseofreality diva delusion noir breakingthefourthwall hollywood losangeles california madness agingactor hasbeen silentfilmstar grandiosebehavior keptman moviestudio drama billywilder williamholden gloriaswanson erichvonstroheim nancyolson"
